Date,High,Low,Open,Close,Volume,Adj Close
2015-01-05,3369.281005859375,3253.883056640625,3258.626953125,3350.51904296875,531400,3350.51904296875
2015-01-06,3394.22412109375,3303.18408203125,3330.799072265625,3351.446044921875,501700,3351.446044921875
2015-01-07,3374.89599609375,3312.2109375,3326.64892578125,3373.9541015625,391900,3373.9541015625
2015-01-08,3381.56591796875,3285.094970703125,3371.95703125,3293.4560546875,371100,3293.4560546875
2015-01-09,3404.833984375,3267.509033203125,3276.965087890625,3285.412109375,410200,3285.412109375
2015-01-12,3275.18505859375,3191.58203125,3258.212890625,3229.31591796875,322100,3229.31591796875
2015-01-13,3259.385986328125,3214.412109375,3223.5419921875,3235.301025390625,230700,3235.301025390625
2015-01-14,3268.48291015625,3193.97802734375,3242.3369140625,3222.43701171875,240200,3222.43701171875
2015-01-15,3337.083984375,3207.544921875,3224.070068359375,3336.455078125,282500,3336.455078125
2015-01-16,3400.318115234375,3340.489990234375,3343.60302734375,3376.4951171875,339900,3376.4951171875
2015-01-19,3262.20703125,3095.06591796875,3189.72705078125,3116.35107421875,401100,3116.35107421875
2015-01-20,3190.2451171875,3100.47705078125,3114.56005859375,3173.052001953125,357100,3173.052001953125
2015-01-21,3337.00390625,3178.343017578125,3189.0849609375,3323.611083984375,411000,3323.611083984375
2015-01-22,3352.384033203125,3293.97802734375,3327.319091796875,3343.343994140625,353400,3343.343994140625
2015-01-23,3406.785888671875,3328.29296875,3357.095947265625,3351.763916015625,366200,3351.763916015625
2015-01-26,3384.798095703125,3321.31494140625,3347.257080078125,3383.181884765625,317500,3383.181884765625
2015-01-27,3390.216064453125,3290.218994140625,3389.85302734375,3352.9599609375,374500,3352.9599609375
2015-01-28,3354.802001953125,3294.655029296875,3325.721923828125,3305.738037109375,301900,3305.738037109375
2015-01-29,3286.785888671875,3234.240966796875,3258.9970703125,3262.304931640625,274700,3262.304931640625
2015-01-30,3288.5029296875,3210.30810546875,3273.7470703125,3210.363037109375,258300,3210.363037109375
2015-02-02,3175.134033203125,3122.572021484375,3148.135986328125,3128.300048828125,250900,3128.300048828125
2015-02-03,3207.93505859375,3129.73193359375,3156.0859375,3204.906982421875,248200,3204.906982421875
2015-02-04,3238.98193359375,3171.14404296875,3212.822021484375,3174.1259765625,249100,3174.1259765625
